Name, Address, Zip, City
Affitti Sicuri, Via Arturo Graf 4, 00137, Roma
GruppoMD srl, Piazza Tarquinia  1, 00183, Roma
Immobiliare Gallia di Botarelli Stefania, Via Gallia 101, 101, Roma
F.R. Immobiliare S.R.L.S., Via Prenestina Nuova 18, 00036, Palestrina
IDEALE IMMOBILIARE, Via delle Pinete 127, 127, Ardea
Alti Livelli Immobiliare, Via Tiberio Imperatore  69, 00145, Roma
REMAX BEST SELECTION, Via dei Castani 211/A, 211, Roma
AGENZIA IMMOBILIARE RUSCITO S.R.L., VIALE ITALIA 130, 130, Ladispoli
META CASA SERVIZI IMMOBILIARI, VIA PARCO DELLA RIMEMBRANZA 20, 00041, Laziale
IMMOBILSERVICE SRL, Via Silvio Pellico 95/A, 00040, Marino
Area-Re Garbatella, via caffaro 15/19, 00154, Roma
Affiliato Tecnocasa: IMMOBILI COMMERCIALI TIBURTINO S.R.L., Via Pietro Ottoboni 33, 00159, Roma
Casanova Immobiliare, Via Venezia 73/99, 00040, Ardea
Grimaldi Immobiliare, Via Roma 10, 00046, Grottaferrata
SANTORO IMMOBILIARE, Via Maurizio Quadrio 34, 00152, Roma
GRIMALDI ROMA PARIOLI, VIALE PARIOLI 118, 118, Roma
Affiliato Tecnocasa: IMMOBILIARE UNIVERSITA' TOR VERGATA SRLS, via di tor vergata    35, 00133, Roma
CONIO Agency srl, viale Aventino  48, 00153, Roma
Grimaldi Immobiliare Centocelle , Via dei Castani 19, 00172, Roma
Affiliato Tecnocasa: IMMOBILI COMMERCIALI BOCCEA S.R.L., CIRCONVALLAZIONE CORNELIA 31, 00165, Roma
AMATI MONTAGNANI RE, Via Federico Cesi 72, 00193, Roma
Izzi snc Immobiliare di Mirko Catalani & C., VIALE ALESSANDRO MANZONI 23, 00071, Pomezia
Ranieri Immobiliare, Viale Liegi 35/b, 00198, Roma
Immobiliare Giacoponi di Roberto Giacoponi, Via Ardeatina 485, 485, Anzio
prima casa immobiliare s.a.s., via rezzato  65, 00166, Roma
Casalotti Real Estate S.r.l.s. -Affiliato Gruppo Toscano, Via della Cellulosa 77/79, 00166, Roma
CASEpoint - Immobiliare Valcanneto, Via A.Vivaldi 25, 00052, Cerveteri
GABETTI LAVINIO, via alla Marina 4/6, 00042, Anzio
CARMEN IMMOBILIARE, via palermo 5F, 00048, Nettuno
Gabetti - Santa Marinella Case srls (RM) Santa marinella, Via Aurelia 333, 333, Marinella
EFFE Immobiliare, P.zza Europa 11, 00038, Valmontone
Studio Dream House srls, via Roma  67, 00071, Pomezia
Affiliato Tecnocasa: FMB IMMOBILIARE S.R.L, PIAZZA LAVINIA   14, 00042, Anzio
Affiliato FRIMM - Studio Immobiliare Tiburtina srl, via tiburtina 558, 558, Roma
3Q immobiliare di Maurizio Bondani, via anco marzio 102, 102, Fiumicino
Impreme SpA - Pietro Mezzaroma e Figli, Via G. Zanella angolo Via Ugo Ojetti snc, 00137, Roma
RE/MAX DELTA, Via di Grotte Portella 12/B, 00044, Frascati
Gabetti Roma Cassia, Via Cassia 652A, 652, Roma
Grasso Group, via Gallia  87, 00183, Roma
Gruppo Capital, Corso Trieste 63, 00198, Roma
Green Aurelia, Via di Villa Troili  fronte 101, 101, Roma
STUDIO IMMOBILIARE ERCOLI, Viale del Lido 29, 00122, Roma
AGENZIA IMMOBILIARE ZIANTONI, Via della Frezza 68/A, 00186, Roma
DIAPASON IMMOBILIARE di Antonio Specchia, Via Taranto  94, 00182, Roma
Affiliato Tecnorete: STUDIO IMMOBILIARE CASALBRUCIATO S.R.L., Via Donati  94, 00159, Roma
Centrosì s.u.r.l., Via Napoli 51, 00184, Roma
ANTONINI FIDUCIARIA IMMOBILIARE  S.A.S., Viale  Gorizia 52, 00198, Roma
Living 360 Srls, Via Anguillarese  90, 00061, Sabazia
CUCARI SERVIZI IMMOBILIARI S.r.l., Largo Duca di York 10, 00044, Frascati
GEDAS Immobiliare srl, VIA CIMONE  119 b/c, 119, Roma
Gruppo Capital, Via Lucio Papirio  80/82, 00174, Roma
Immobiliare Palombara srls, Piazza della Libertà 5, 00015, Monterotondo
KADIMA IMMOBILIARE GROUP, VIA MARZIALE 26, 00136, Roma
MI.ZA IMMOBILIARE SRL, VIA STRESA 23, 00135, Roma
EsigenzaCasa, Via Imperia 50, 00161, Roma
Agenzia Colonna di Censoni Bruno e c., Largo Palazzo Colonna 6, 00047, Marino
SIRIUS HOME SRLS, via lucania 2, 00019, Tivoli
Frimm Cantieri e Frazionamenti, via ferdinando di savoia 3, 00196, Roma
Agenzia Regilla Immobiliare s.a.s., Via Giuseppe Mantellini  31, 00179, Roma
OVER THE SPOT, Via Raffaele Paparella 15, 00127, Roma
Domus Point Immobiliare , Palatina 23, 00019, Tivoli
Domus Italy, Via Barnaba Oriani  8/A, 00197, Roma
L' Immobiliare di Alfredo Di Stefano srl, Via Roma  30, 00046, Grottaferrata
Domus Group Immobiliare affiliato Frimm, Via Boccea 617, 617, Roma
RE/MAX Property, Via Nemorense 3, 00199, Roma
Beliving International Properties, Via di Montoro 8, 00186, Roma
Gabetti Frascati - Andrea  Case Srls, Via Giacomo Matteotti  22, 00044, Frascati
RAFFAELLO IMMOBILIARE s.r.l, piazza garibaldi 14, 00019, Tivoli
Alianta , Via Arenula  21, 00186, Roma
Affiliato Tecnocasa: SAN CESAREO COLONNA MEDIAZIONE S.R.L.S, VIA ANTONIO CANTORE  19, 00040, Cesareo
TEMPOCASA Fiumicino, Via degli Orti 32, 00000, Fiumicino
luca procesi, viale ungheria 69, 00039, Zagarolo
TEMPOCASA Cerenova, Largo Tuscolo   1, 00052, Cerveteri
EMME 2 srl, via san michele 6/c, 00067, Morlupo
Coldwell Banker Futura Group, Via G. Branca 78, 00153, Roma
barbara, Corso Matteotti 116, 116, Laziale
Di Castro Immobiliare srl, Via Giuseppe Montanelli  8, 00195, Roma
Immobiliare Mazzei T. di Celestini Raoul s.a.s, via aurelia 308 -310, 308, Marinella
Grimaldi Roma San Pietro, Via Cardinal Cassetta  11, 00165, Roma
Affiliato Tecnocasa: STUDIO XX SETTEMBRE S.R.L.S. UNIPERSONALE, Via delle Mura 5, 00049, Velletri
CASA NEW - The Evolution System, Via Palombarese 774, 774, Nuova
Romana Negozi di Claudio Gennarelli, Via Silvio Spaventa 11, 00187, Roma
Studio CORTESE Immobiliare d'Impresa , VIA FAMIANO STRADA   10, 00179, Roma
Le Case di Paola srl, Via Bergamo  18-20, 00040, Ardea
Houselink Italia, Via di San Giacomo  18, 00187, Roma
CENTRO IMMOBILIARE ROMANO, via della meloria 93, 00136, Roma
Volumi immobiliare di Annamaria De Matteis, Via Ugo Ojetti 41, 00137, Roma
Casa Castelli Immobiliare, Via Giuseppe Verdi 21 21, 00046, Grottaferrata
Piano Alto s.r.l., Via Due Ponti 231/A, 231, Roma
Condò Immobiliare , via Giacomo Matteotti 34, 00044, Frascati
ITIMARE SRL UNIPERSONALE, Viale Paolo Orlando 42, 00122, Roma
Affiliato Tecnorete: TOR VERGATA MEDIAZIONI  SRLS, Via di Tor Vergata  20/A, 00133, Roma
Meridiana Mediazioni Tre s.r.l., Via L. Capuana 8, 00100, Roma
AGENZIA VENTA CASE SRL, Via di Vigna Murata  302, 302, Roma
De Angelis Immobiliare, Piazza Fernando De Lucia 37, 00139, Roma
ROMUALDO COLAVALLE, via giacinto carini  25/a, 00152, Roma
DOMA IMMOBILIARE, Via delle Gerbere 45, 00012, Montecelio
DMW, VIALE DEGLI ASTRI  80, 00144, Roma
MV SERVIZI IMMOBILIARI, via 3 novembre 99, 00013, Mentana
Progetto Immobile.com s.r.l., Via cancelliera 69, 00072, Ariccia
RE/MAX Diamond, via Dei Berio  214/216, 214, Roma
Nervi S.P.A., Piazzale delle Belle Arti 8, 00196, Roma
Frimm Exgab SRL, circonvallazione trionfale 151, 151, Roma
Stimacasa, via A. Baldissera 12, 00159, Roma
TEMPOCASA Cerveteri, viale A.Manzoni  56, 00052, Cerveteri
TEMPOCASA Ladispoli, Via Cagliari 25, 00055, Ladispoli
Antonelli Immobiliare, via Gasperina  192, 192, Roma
Uno Holding, Via Rosa Raimondi Garibaldi 38, 00145, Roma
Sistema Casa - San Paolo - Ostiense, V.le L. Da Vinci 124, 124, Roma
Gabetti - AGENZIA DI PONTE DI NONA s.r.l. (Ponte di Nona - RM), Viale Francesco Caltagirone  299, 299, Roma
Magda Immobiliare, Via Oriolo 5/A, 00052, Cerveteri
Frimm Axa - Acilia - Madonnetta, Via Amedeo Bocchi  352, 352, Roma
Giacobbe Immobiliare, Via Gadames 4, 00199, Roma
DURI IMMOBILIARE SRLS, Via Brunetti 17, 00186, Roma
La Commerciale S.R.L. Promozioni Immobiliari, Lungotevere dei Mellini  44, 00193, Roma
Casa Direct, Via Copenaghen 40, 00144, Roma
Grimaldi Conca d'Oro, Via Val Maira  8, 00141, Roma
TEMPOCASA Santa Marinella, Via Aurelia 335, 335, Marinella
Immobiliare Trilussa , Via Massimo d' Azeglio  10 - 12, 00041, Laziale
Prati Immobiliare s.r.l. , Via Candia  85/87, 00192, Roma
Remax Union, Via Emanuele Filiberto 134, 134, Roma
Fiore Real Estate, Via Sardegna 50, 00187, Roma
REMAX ABITAT CENTRO, Viale Liegi 35/B, 00198, Roma
RETECASA LADISPOLI - MARINA DI CERVETERI, Via La Spezia 67/c, 00055, Ladispoli
Kourum Immobiliare , Via Monte Grappa 6, 00043, Ciampino
AG Realty Group S.r.l., Piazza Euclide  31, 00197, Roma
TICAMBIOCASA - MLS ELITE ROMA, via di santa maria goretti 68, 00199, Roma
Rivolta Immobiliare dal 1956, Via Orti della Farnesina 109/C, 109, Roma
ROMA IMMOBILI, GREGORIO VII  426, 426, Roma
Gruppo La Pietra S.R.L., Via Salaria  150, 150, Monterotondo
Gest service Baldi SRLs, Via Pisino 159w, 159, Roma
PROGEDIMM Srl, Via Angelo Brofferio 3, 00195, Roma
Club Casa srl, via macerata 6, 00176, Roma
ALA IMMOBILIARE, Piazza Gentile da Fabriano 3, 00196, Roma
Immobiliare etrusc@ Cerveteri srl, Via Delle Mura Castellane 22, 00052, Cerveteri
Immobilmare di Pittiglio Claudio & C. Sas, Via Giorgio Giorgis 126, 126, Fiumicino
Ostia Centro - Ostia Stella Polare, Corso Duca di Genova 127, 127, Roma
GRUPPO AURELI AG. SAN GIOVANNI APPIA, Via Corfinio 5, 00183, Roma
Affiliato Tecnocasa: SETTORE COMMERCIALE S.R.L., Via Tor De' Schiavi  398, 398, Roma
Urbest2, via ascanio vitozzi 14, 00128, Roma
Affiliato Tecnocasa: TIVOLI 2018 S.R.L., VIA VINCENZO PACIFICI 8/10, 00019, Tivoli
Pantheon Immobiliare , vicolo de Catinari  9, 00186, Roma
Affiliato Tecnorete: IMMOBILIARE CASILINA S.R.L., Via Casilina   1853, 1853, Roma
Progetto Casa srls di Valentini Carlo, Via Colsereno 66, 00019, Tivoli
Solo Affitti - Agenzia di Nettuno 1, Via Cavour  38, 00048, Nettuno
segugiocasa, Via Cassia  1669/B, 1669, Roma
Affiliato Tecnocasa: STUDIO CASALOTTI BOCCEA SRL, Piazza Ormea  37, 00166, Roma
Affiliato Tecnocasa: IMMOBILIARE PONTE DI NONA S.R.L.S, Via Raoul chiodelli   84, 00132, Roma
Eurofigest Immobiliare, Via Isole Salomone  12, 00121, Roma
RM Immobiliare, Viale Umberto Tupini  96, 00144, Roma
MR Service S.R.L., Viale Manzoni  53, 00052, Cerveteri
Giada Immobiliare S.R.L, Via G. Pagliari 17, 00198, Roma
Gabetti Franchising Agency, via cipro 92, 00136, Roma
immobiliare Capitolina s.r.l., Piazza del Popolo 3, 00187, Roma
Quadrifoglio Immobiliare Bullicante, Via Acqua Bullicante 239/A-B, 239, Roma
CASE ROMANE REAL ESTATE, Piazza Filippo Carli  27, 00191, Roma
CASAGREGORYRE, largo gregorio XIII  5, 00167, Roma
Affiliato Tecnocasa: TONIC IMMOBILIARE S.R.L., Via Massimo D'azeglio  34, 00047, Marino
sairi immobiliare S.r.l., via dei satelliti 3, 00055, Ladispoli
Immobilia.RE Veio, Viale Africa 148, 148, Formello
CM Immobiliare, piazza del Mercato 2, 00044, Frascati
CLUB MEDICI IMMOBILIARE CASEDOC SRL, Via G. B. De Rossi 26/28, 00161, Roma
CAMBIO CASA di Giovannini Ilenia, Via delle Magnolie 6, 00062, Bracciano
CasaNet Agency-Setteville Team srls, Via G.Leopardi  1, 00012, Montecelio
AIR Immobiliare, Piazza Roma  14, 00044, Frascati
real Home srls, Via Empoliana 64, 00019, Tivoli
piramide immobiliare, via casal selce 383h, 383, Roma
Frimm Academy Roma, Via Ferdinando di Savoia 3, 00196, Roma
MC Immobiliare di Marco Cianfriglia, Via Giovanni XXIII 11/A, 00036, Palestrina
FRIMM - FRALE IMMOBILIARE SNC, Via della Bufalotta 306, 306, Roma
Leonardo DF serv. imm., via inversata 31/a, 00019, Tivoli
IMMOBIL&PROGRESS, Via Michele Rosi 82, 00054, Fiumicino
EUROCASEhttps://pro.immobiliare.it/logout, VIA ETTORE COLLA 5, 00125, Roma
Myhome srl, Largo Arrigo Boito 9/10, 00052, Cerveteri
Affiliato Tecnocasa: VALMONTONE MEDIAZIONI S.R.L., Via Casilina 225, 225, Valmontone
WE HOME REAL ESTATE, via alessandria  112c, 112, Roma
Prisco Di Rienzo, Viale Bruno Buozzi 3, 00197, Roma
Studio Russo , Via Bevagna  68, 00191, Roma
Affiliato Tecnocasa: IMMOBILIARE LANUVIO SRL, piazza carlo fontana   4, 00040, Lanuvio
CasaCatag, Viale Gorgia di Leontini 1, 00124, Roma
STILE CASA , PIAZZA DELLA PACE  10, 00043, Ciampino
Agenzia Immobiliare Minerva, Via Porto Innocenziano 28, 00042, Anzio
Studio Pedemontana Srl, Via Pedemontana 125, 125, Palestrina
Ca.Se. Immobiliare di Serena di Ienno, Via F.Galiani  11, 00191, Roma
IMMOBIL CLASS, via valdinievole  91, 00141, Roma
Fortune Real Estate, Viale Liegi 5, 00198, Roma
Vienove Servizi Immobiliari, Viale Marco Polo .79, 00154, Roma
Affiliato Toscano Tiburtino, Via Diego Angeli 152, 152, Roma
Rivolta Immobiliare dal 1956, Via Di Ripetta 124/125, 124, Roma
Affiliato CASA RE - ROMA ACILIA RE SRL, VIA Gustavo Cacini  39, 00125, Roma
FMC studio immobiliare, Via Monterosi 84, 00191, Roma
Gabetti Centocelle Prenestina - PROGETTO ROMA SRL, VIA DEI CASTANI 222/A, 222, Roma
Affiliato Tecnocasa: IMMOBILIARE VILLAGGIO PRENESTINO LUNGHEZZA S.R.L., Via del Fosso dell'Osa    358, 358, Roma
Archincasa, Via Antrodoco 23, 00199, Roma
LCRE Location Consulting &Real Estate , LARGO DEI LOMBARDI (VIA DEL CORSO) 4, 00187, Roma
Grimaldi Roma Appio, Via Appia Nuova  227, 227, Roma
Agenzia Immobiliare Laurentina Ardea, Viale San Lorenzo 235, 235, Ardea
Stella Immobiliare, Via della Bonifica di Torrimpietra  16, 00054, Fiumicino
CAMPO MARZIO CONSULTING, VIA SISTINA  36, 00187, Roma
LA CASA CAPITAL , via cassia  642/A, 642, Roma
Studio Sile Immobiliare, Via del Divino Amore  191, 191, Marino
SOLO AFFITTI - Agenzia Frascati, Via Domenico Seghetti 5, 00000, Frascati
Affiliato Tecnocasa: STUDIO PALESTRINA CENTRO S.R.L., C.so Pierluigi  15, 00036, Palestrina
SEFI di Rodolfo Fiorini , Vicolo del Governo Vecchio 7, 00186, Roma
Affiliato Tecnocasa: LITORALE IMMOBILIARE SRLS, Via delle Pinete  121-123, 121, Ardea
Affiliato Tecnocasa: MONTECOMPATRI MEDIAZIONE S.R.L., piazza m. mastrofini  10, 00040, Compatri
Affiliato Tecnocasa: NETTUNO CENTRO IMMOBILIARE SRLS, VIA A.GRAMSCI  32, 00048, Nettuno
Real Money Servizi Immobiliari Srls, Via A. Silvani 23, 00139, Roma
Affiliato Tecnocasa: VILLA ADRIANA MEDIAZIONI S.R.L., Via Nazionale Tiburtina   122, 122, Tivoli
Tecnoaffari Studio Acqui - Connect to "REplat", via acqui  37, 00183, Roma
Irifin, Viale Pio XII 12, 00036, Palestrina
Stima Immobili srl, via dei Gelsi  3/D, 00171, Roma
Affiliato Tecnocasa: PUNTO MEDIAZIONI S.R.L., Corso Filippo Turati   92/94, 00034, Colleferro
M.Rachele Immobiliare di Monge Rachele, Via Fraconalto 64, 00166, Roma
ABITARE CAPENA di Diego de Iulis, piazza san luca  4, 00060, Capena
Affiliato Tecnorete: LAVINIO MARE SRL, Corso San Francesco  107/109, 107, Anzio
Punto Imm.re Cassia Olgiata S.r.l., VIA CASSIA 1173, 1173, Roma
Affiliato Tecnocasa: TOR SAN LORENZO 2011 SRL, VIALE SAN LORENZO   13/D, 00040, Ardea
Studio Ungheria Srl, Viale carso 77, 00195, Roma
Studio Ungheria Srl, Viale carso 77, 00195, Roma
Eda Real Estate Solutions, Via Della Vite 7, 00187, Roma
Easy Home S.R.L., Via degli Opimiani 32, 00174, Roma
KEYHOUSE IMMOBILIARE SRL, Viale degli Astri 85, 00144, Roma
L'Affittafacile, Via di Santa Maria Ausiliatrice 69/71, 00181, Roma
Affiliato Tecnocasa: IMMOBILIARE MARCO SIMONE S.R.L., VIA ANTICOLI CORRADO   54, 00012, Montecelio
Affiliato Tecnorete: ROMA EST IMMOBILIARE SRL, Via Massa di San Giuliano  295, 295, Roma
RE ORANGE -  ROMA / S.MARINELLA, VIA AURELIA  287, 287, Marinella
Eurocasare servizi immobiliari, Via della Fontanella di Borghese  31, 00186, Roma
PROGEDIL Case - Marino, Corso Trieste  38, 00047, Marino
Immobiliareliotta - Palestrina, Viale Pio XII 110, 110, Palestrina
Studio Leone IV, Via Leone IV  8-8/a, 00192, Roma
Olgiata Casa Servizi Immobiliari Srl, Via Anton Giulio Bragaglia 33, 00123, Roma
Solo Affitti - Agenzia di Grottaferrata, Via Gregorio di Tuscolo 37, 00046, Grottaferrata
Affiliato Tecnocasa: STUDIO CAPENA  SRL, Viale Antonio Gramsci  4, 00060, Capena
Le.Pa Immobiliare srl, Via Maremmana 39, 00030, Cesareo
Peluso Immobiliare, VIA DELLA FOTOGRAFIA 94, 00142, Roma
PROFESSIONALCASA S.R.L., Via Luigi Capuana 207, 207, Roma
Florida Servizi Immobiliari, Largo Milano  1, 00040, Ardea
Merito Immobiliare, via sansepolcro  1 d, 00138, Roma
Euro Immobiliare s.n.c., Piazza Ronchi 15, 00177, Roma
Soluzioni Immobiliari, Largo dei Levii 10-11, 00174, Roma
Affiliato Tecnocasa: NUOVO INFERNETTO SRL, via egna   8/A, 00124, Roma
CASA ROMA Res Group, Via Terenzio  7, 00193, Roma
Immobiliare Grasselli, nomentana 547, 547, Nuova
I.S. S.R.L., C.so Don Minzoni  51, 00045, Roma
Metroquadro Immobiliare sas, Via Nettunense C/O CENT. COMMER. LA NAVE Km 0.600, 600, Marino
Affiliato Gabetti Nettuno - TRIDENTE IMM. SRL, VIA GRAMSCI 26, 00048, Nettuno
PROGEDIL CASE - Pomezia, Via Urbano Rattazzi 17, 00040, Pomezia
Carmen IMMOBILIARE, Via Giunio Antonio Resti 63, 00048, Roma
Affiliato Tecnocasa: COMMERCIALE NORD-EST S.R.L., Via Salaria    224, 224, Monterotondo
TOPCASA IMMOBILIARE SRL, Via raffaele de cesare 87, 00179, Roma
MediazioneCasa, Via Filippo Corridoni  99, 00030, Cesareo
uhome, via della Stazione di Ciampino 150, 150, Roma
Affiliato Tecnocasa:STUDIO LA STORTA 1 S.R.L., Piazza della Visione   19, 00123, Roma
Gruppo Unica Immobiliare Roma1, Via Sisto IV 42, 00167, Roma
Panta Rei Soluzioni Immobiliari, Viale prassilla 6, 00124, Roma
Italcasa di Mirko Reali, Via di Monte del Gallo  27-27A, 00165, Roma
HOME AD HOC, Via Antonio Bertoloni 55, 00197, Roma
ROMA REAL ESTATE srls, via della primavera 61, 00172, Roma
O.P. Immobiliare, G. Amendola 8, 00030, Cesareo
Casaplanet servizi immobiliari, Via Gandiglio Adolfo 136, 136, Roma
Agenzia Immobiliare CentoXCento Casa, Via Castelvetrano 243, 243, Roma
GEIM IMMOBILIARE SRL, Viale Angelico 78, 00195, Roma
IMMOBILI & IMPRESE SRL, Viale Europa  333, 333, Roma
FRIMM - Studio Alessandrino  -  Gi.VE.MA. srl, viale Alessandrino 189, 189, Roma
Monterotondo Case Srl, piazza del popolo  10, 00015, Monterotondo
Nuova Felicioni Case S.R.L., Via Buonarroti   18, 00053, Civitavecchia
Coldwell Banker -Eretum Re Group -, Via Giacomo Matteotti  37, 00015, Monterotondo
Rizzetti Immobiliare, Via Troilo il Grande 90, 00131, Roma
Commat srl, piazza sabazio 15, 00199, Roma
Tivoli Terme Immobiliare s.r.l., P.zza Bartolomeo della Queva  22/B, 00011, Tivoli
Affiliato Tecnorete: GIARDINI DI ROMA S.R.L., via giuditta rissone   23, 00127, Roma
GRANDICASE Roma, via di torrenova 229, 229, Roma
Lidense Immobiliare Snc, Corso Duca di Genova 153d, 153, Roma
Agenzia Immobiliare di Onesti Andrea, Via Frascati 201, 201, Papa
Benecase, case e bene, Vicolo della Moretta  14, 00186, Roma
Affiliato Tecnocasa: STUDIO VIALE ROMA S.R.L., Viale Roma 14, 00044, Velletri
5 Stelle Immobiliare, Via Garibaldi 16, 00046, Grottaferrata
ZOMPETTI IMMOBILIARE di Gallizia Luca, Via Silvio Pellico 8, 00071, Pomezia
IMMOBILIARE SIMONETTI DI SIMONETTI FRANCESCO, via zagarise  29, 00173, Roma
Affiliato Tecnocasa: Immobiliare Pomezia Srls, Via Roma 129, 129, Pomezia
LA CASA agency -  VELLETRI, VIA LATA 9, 00049, Velletri
Cynthianum Immobiliare, Via S. Silvestri 154, 154, Roma
Camicia Immobiliare, Via Mastro Gabriello 96, 00188, Roma
Re House Immobiliare, Via Nicola da Guardiagrele 200, 200, Roma
Frabetti Immobiliare, Via Di Acilia 156, 156, Roma
Wellhome servizi immobiliari Srl, Piazza Vega  37, 00122, Roma
OS REAL ESTATE S.R.L., P.ZA VITTORIO EMANUELE II 4, 00185, Roma
Studio Immobiliare Ulmo, Via RODI  32, 00195, Roma
HIGH PERFORMANCE HOUSE, Piazzale del Parco della Rimembranza 11, 00197, Roma
eticasi - EUROIMMOBILIARE , Via di San Claudio (Piazza S. Silvestro) 69, 00187, Roma
Gruppo Toscano - Punto Immobiliare Boccea Val Cannuta, Largo Gregorio XIII  7/8, 00167, Roma
Casagrande Immobiliare, via Rianese 59, 00060, Riano
Asset Casa S.r.l, Via Pericle Fazzini 42, 00127, Roma
Frimm & Solo Affitti, Via Dino Penazzato  77, 00177, Roma
Sinergie Immobiliari Agency srl, largo damiano chiesa 7a, 00136, Roma
Affiliato Tecnorete: IMMOBILIARE GIARDINETTI S.R.L., via carlo santarelli  98/d, 00133, Roma
Studio Artemisio di C.  L., VIA ROMA  220, 220, Lariano
Trigoria Immobiliare srl, Via Bruno de Finetti 28, 00134, Roma
Punto Immobiliare Provincie srl, Via della Lega Lombarda  24/26, 00162, Roma
SIR Realty SRL, Via Panisperna 207, 207, Roma
Domus Intermedia, Largo Benito Jacovitti 13, 00127, Roma
Immobiliare Formello S.r.l.s. affiliato FRIMM, via Roma  13/a, 00060, Formello
New Living s.r.l.s., Via Aldo Moro 1, 00048, Nettuno
Real Estate & Financial Company Srl, Via Di Villa Severini  54, 00191, Roma
Coldwell Banker Talenti, Via Chiana 33, 00198, Roma
Giampiero Cinti , via Belvedere montello 37, 00166, Roma
IPI INTERMEDIAZIONE SRL -  Roma Terziario, Via Cavour 179/A, 179, Roma
D.N. IMMOBILIARE S.R.L.S., Via Tiberina 106/B, 106, Romano
GRIMALDI EUR TORRINO, c/o EuroSky Tower Viale Giorgio Ribotta 21, 00144, Roma
Valore Immobiliare, Via Ugo Ojetti 16, 00137, Roma
TEMPOCASA Bracciano, Piazza delle Magnolie 2A, 00062, Bracciano
Affiliato Tecnorete: GRUPPO SABINA PALOMBARA S.R.L., VIALE UNGHERIA 19, 00018, Sabina
Fquadro Fascetta Immobiliare, via squillace 82, 00178, Roma
Cioli&Rismondo Roma Centro Storico R.E., via della scrofa  58, 00186, Roma
Grimaldi Roma Prati - studio fabio massimo srl , Via Fabio Massimo   66, 00192, Roma
Affiliato Tecnocasa: STUDIO FIANO S.R.L., VIA ALDO MORO 99, 00065, Romano
Soluzioni Immobiliari, Via Orazio  11, 00071, Pomezia
Immobiliare Atena srls, via Casilina 162, 162, Valmontone
CaseSi, Via Placido Martini  10, 00136, Roma
WWW.TRASTEVEREIMMOBILIARE.COM, viale trastevere 98, 00153, Roma
ERIKA MONDATI SERVIZI IMMOBILIARI S.R.L. Società Unipersonale, Via Salaria  1422/F, 1422, Roma
Punto Immobiliare Ciampino S.r.l.s, Via Roma 37/39, 00043, Ciampino
Roma Merulana Colosseo, Via S. Giovanni in Laterano 188, 188, Roma
Valentino Immobiliare S.r.l., via flaminia 21, 00196, Roma
ABITHA - Talenti Immobiliare 2005 S.r.l., Via Francesco D'Ovidio   83 B, 00137, Roma
Fabrizio Di Pietro Immobiliare, Piazza Dell'Esquilino  42, 00184, Roma
Affiliato Tecnocasa: NUOVA IMMOBILIARE ANZIO SRLS, via di villa claudia   53/c, 00042, Anzio
CSI Immobiliare - Lucarelli Luca, Corso Pierluigi 85, 00036, Palestrina
Gruppo Revolution Acilia, Via Padre Massaruti 186, 186, Roma
Schema Casa - Morena, Via Torre di Morena  89, 00118, Roma
FABRIZIO CORVI , Via del Forte Braschi 73, 00167, Roma
Studio Le B 45 di Barbara Ragno, Via Etruria 45, 00183, Roma
Affiliato Frimm - Immobiliare Moraca, borgo garibaldi 96, 00041, Laziale
lamberto scardaci, piazza della stazione vecchia 10, 00122, Roma
World immobiliare di Bucciarelli Bianca Maria, VIA NETTUNENSE  110, 110, Laziale
SANTA BARBARA, Via Gadames  15, 00199, Roma
Antonini & Del Piano Immobiliare di Joy Del Piano , Via Dora Copped&egrave; Palazzo Ambasciatori  2, 00198, Roma
Punto Imm.re Ostia Antica, Viale dei Romagnoli 757, 757, Roma
Punto Imm.re Ostia Antica, Viale dei Romagnoli 757, 757, Roma
v.&m. immobiliare, via risorgimento 83, 00041, Laziale
Affiliato Tecnorete: FLAMINIO 1 S.R.L., via Cesare Fracassini    4a/6, 00196, Roma
Reddavideconsulting, Via della Reginella 14, 00186, Roma
City Casa Srl, Via Magliano Sabina  29/A, 00199, Roma
DomosWeb Immobiliare, via verdi 8b, 00041, Laziale
IMMOBILFARO DUE, Via Giorgio Giorgis 188, 188, Fiumicino
Imm. Bufalotta S.R.L.S, via Della Bufalotta  777, 777, Roma
Affiliato Toscano - Roma Cassia Grottarossa, via Cassia   925A, 925, Roma
EXTIMM IMMOBILIARE, Via Umberto Giordano  95, 00124, Roma
TEMPOCASA Civitavecchia, Via Carlo Calisse  16, 00053, Civitavecchia
Gruppo CasaRE - VENTITRE Sales & Advisor srl, Via Germanico 156, 156, Roma
PROGEDIL case - Agenzia 3, Viale Francesco Caltagirone 436, 436, Roma
Punto Imm.re Alessandrino s.a.s., Viale Alessandrino 167, 167, Roma
Grimaldi Immobiliare Ag. Setteville, Largo Carducci 1, 00012, Montecelio
UNIVERSO CASA, Largo Alessandro Manzoni  21, 00040, Marino
SCOTTICASE, VIA CESARE BARONIO  59, 00179, Roma
ANTEO IMMOBILIARE, Viale Antium 6 - Centro Comm.le Anteo -  km.35,500, 500, Anzio
Gabetti Agency SpA - Corporate Roma, Viale di villa Grazioli  21-23, 00198, Roma
CASAIDEA di Paris Leonanda sas, Piazza Vittorio Emanuele  5, 00069, Romano
Coldwell Banker Prime Properties, Piazza Mazzini 27, 00195, Roma
